Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Banana,Total,state_address,street,Zip_Code
254,2021-01-19,19:01:01,Melissa,Parker,Female,kellihamilton@example.com,408-979-06475,Turkey,YES,"Apple,Banana,Strawberry,Cherry,Pineapple",2.0,9.8,Maine, 8601 Bryan Brook, 09103
220,2021-01-20,00:58:19,Patricia,White,Female,jeffrey06@example.net,130-209-33694,Panama,YES,"Pineapple,Grapes,Apple,Banana,Peach",1.5,8.5,Indiana, 5954 Vasquez Circles Suite 360, 99492
131,2021-03-09,17:54:49,George,Collins,Female,phillipsrobert@example.net,479-490-29081,Korea,YES,"Cherry,Peach,Strawberry,Banana",1.7,6.6000000000000005,Louisiana, 5905 Lane Land Suite 235, 74027
479,2021-03-10,19:32:21,Jennifer,Lee,Male,dunnmichael@example.com,821-940-56305,Reunion,YES,Banana,2.3,2.3,Utah, 560 Chambers Valley Suite 811, 53557
60,2021-03-13,09:33:52,Carol,Moore,Male,aguilarpamela@example.org,879-771-58917,Palau,YES,"Banana,Grapes,Strawberry",1.6,5.1000000000000005,New Hampshire, , 18186
61,2021-03-20,10:39:58,Emily,Johnson,Male,daniel81@example.net,065-586-37670,Ireland,YES,"Mango,Apple,Banana",2.0,5.4,Nebraska, 3031 Bennett Tunnel Suite 086, 88372
82,2021-03-28,13:20:29,James,Phillips,Male,thomastaylor@example.com,784-829-24194,Morocco,YES,"Mango,Banana,Grapes,Cherry",2.0,7.2,Iowa, 149 Watts Underpass Suite 865, 87178
6,2021-04-14,19:49:19,Betty,Nelson,Male,robertclark@example.com,146-514-62466,Sudan,YES,"Mango,Banana,Grapes",2.0,5.1,Alaska, , 84981
83,2021-07-08,05:15:24,Susan,Brown,Female,yhenry@example.org,318-818-28856,India,YES,"Strawberry,Orange,Peach,Banana",1.4,6.1,Alaska, , 03269
246,2021-08-10,20:07:53,Kimberly,Rodriguez,Male,crystalmorgan@example.com,844-848-87896,Holy See (Vatican City State),YES,"Mango,Strawberry,Blueberry,Banana",2.3,7.1,Oklahoma, 06049 Christopher Course, 29754
56,2021-08-26,22:26:04,George,King,Male,jessicamurray@example.net,842-633-29486,Eritrea,YES,"Cherry,Banana,Strawberry",1.3,5.9,Georgia, , 
364,2021-11-02,10:18:42,Brian,Rodriguez,Female,richard46@example.com,670-293-42829,Zimbabwe,YES,"Grapes,Orange,Banana",2.6,5.7,New York, , 74291
30,2021-11-03,12:07:28,Jennifer,Allen,Male,andrew19@example.org,934-913-34610,Switzerland,YES,"Mango,Grapes,Strawberry,Banana,Cherry",2.2,10.999999999999998,Rhode Island, 718 Garcia Ferry, 76401
497,2021-11-20,00:30:33,Sarah,Anderson,Female,hnorman@example.net,032-085-39419,New Zealand,YES,"Banana,Blueberry,Strawberry",2.0,4.9,Alabama, , 
121,2021-11-29,18:17:07,Michael,Taylor,Male,kyletaylor@example.org,012-324-35574,Timor-Leste,YES,"Cherry,Peach,Banana,Strawberry",2.4,7.0,Arkansas, 01482 Amanda Island Apt. 457, 90122
263,2022-01-06,11:34:08,Mary,Parker,Female,daniel19@example.com,068-122-37117,Heard Island and McDonald Islands,YES,"Mango,Cherry,Pineapple,Banana,Apple",2.4,9.7,Missouri, 575 Holmes Shores Suite 670, 
51,2022-01-23,15:27:08,Amanda,Edwards,Male,michael76@example.org,990-406-23181,Albania,YES,"Banana,Orange,Strawberry",2.7,7.500000000000001,North Dakota, 4640 Felicia Isle, 
130,2022-02-11,02:00:47,Amanda,Martin,Male,lmarsh@example.org,263-039-17547,Isle of Man,YES,"Peach,Banana,Grapes,Mango",2.0,7.7,Tennessee, , 10870
