Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Cherry,Total,state_address,street,Zip_Code
254,2021-01-19,19:01:01,Melissa,Parker,Female,kellihamilton@example.com,408-979-06475,Turkey,YES,"Apple,Banana,Strawberry,Cherry,Pineapple",1.8,9.8,Maine, 8601 Bryan Brook, 09103
125,2021-01-27,15:14:43,Richard,Martinez,Female,kristin09@example.org,717-722-82796,Kuwait,YES,"Cherry,Strawberry,Mango,Peach",1.9,8.2,Alaska, 843 Sherry Lane, 82136
131,2021-03-09,17:54:49,George,Collins,Female,phillipsrobert@example.net,479-490-29081,Korea,YES,"Cherry,Peach,Strawberry,Banana",1.4,6.6000000000000005,Louisiana, 5905 Lane Land Suite 235, 74027
82,2021-03-28,13:20:29,James,Phillips,Male,thomastaylor@example.com,784-829-24194,Morocco,YES,"Mango,Banana,Grapes,Cherry",2.2,7.2,Iowa, 149 Watts Underpass Suite 865, 87178
276,2021-05-01,11:47:12,Barbara,White,Female,pjackson@example.net,811-739-68191,Egypt,YES,"Grapes,Cherry,Pineapple",2.4,5.800000000000001,Mississippi, , 26740
234,2021-05-15,11:22:53,Daniel,Carter,Male,codyperry@example.com,228-560-26559,Western Sahara,YES,"Strawberry,Orange,Cherry",1.7,5.5,New York, , 28289
413,2021-06-02,04:35:47,Jessica,Turner,Female,hughesalejandro@example.org,639-727-24434,Lesotho,YES,"Pineapple,Cherry,Peach",1.6,6.6,Vermont, 1698 Gregory Valley Suite 803, 43223
162,2021-06-07,09:40:01,George,Rodriguez,Male,marymiller@example.net,142-045-34586,Chad,YES,"Apple,Peach,Orange,Grapes,Cherry",1.7,8.7,Kentucky, 1611 Darrell Path Suite 572, 
340,2021-07-30,10:00:41,Emily,Green,Female,rhodestodd@example.net,497-443-85192,Zambia,YES,"Cherry,Blueberry,Mango,Strawberry,Apple",2.4,10.3,Rhode Island, , 47048
194,2021-08-10,00:34:53,Lisa,Lewis,Male,nortonerin@example.org,549-831-99839,Uganda,YES,Cherry,1.8,1.8,Kansas, , 
268,2021-08-22,09:24:38,Donna,Roberts,Male,nathaniel69@example.org,154-883-17516,Marshall Islands,YES,"Grapes,Peach,Blueberry,Cherry,Orange",1.7,8.5,New Jersey, 64174 Kelly Vista, 30802
56,2021-08-26,22:26:04,George,King,Male,jessicamurray@example.net,842-633-29486,Eritrea,YES,"Cherry,Banana,Strawberry",2.4,5.9,Georgia, , 
30,2021-11-03,12:07:28,Jennifer,Allen,Male,andrew19@example.org,934-913-34610,Switzerland,YES,"Mango,Grapes,Strawberry,Banana,Cherry",2.1,10.999999999999998,Rhode Island, 718 Garcia Ferry, 76401
