Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Mango,Total,state_address,street,Zip_Code
329,2021-01-25,07:05:51,Kevin,Hall,Male,nicolejimenez@example.com,959-021-36566,Australia,YES,"Mango,Pineapple,Apple",1.5,5.0,Nevada, , 42184
460,2021-01-26,00:26:55,Brian,Harris,Female,geoffrey67@example.org,573-873-29304,Guinea-Bissau,YES,"Mango,Pineapple",1.9,3.1,West Virginia, 350 Megan Orchard Suite 913, 76065
125,2021-01-27,15:14:43,Richard,Martinez,Female,kristin09@example.org,717-722-82796,Kuwait,YES,"Cherry,Strawberry,Mango,Peach",1.3,8.2,Alaska, 843 Sherry Lane, 82136
61,2021-03-20,10:39:58,Emily,Johnson,Male,daniel81@example.net,065-586-37670,Ireland,YES,"Mango,Apple,Banana",1.7,5.4,Nebraska, 3031 Bennett Tunnel Suite 086, 88372
82,2021-03-28,13:20:29,James,Phillips,Male,thomastaylor@example.com,784-829-24194,Morocco,YES,"Mango,Banana,Grapes,Cherry",1.5,7.2,Iowa, 149 Watts Underpass Suite 865, 87178
6,2021-04-14,19:49:19,Betty,Nelson,Male,robertclark@example.com,146-514-62466,Sudan,YES,"Mango,Banana,Grapes",1.5,5.1,Alaska, , 84981
147,2021-05-10,08:10:18,Ashley,Williams,Female,diane33@example.org,854-644-88346,Saudi Arabia,YES,"Apple,Strawberry,Mango",1.2,4.9,Colorado, 211 Hannah Gardens Suite 001, 
395,2021-07-10,20:05:38,Charles,Taylor,Male,williamsheather@example.org,735-076-35757,Madagascar,YES,Mango,2.4,2.4,Alabama, , 53918
34,2021-07-15,13:49:49,Steven,Allen,Male,jmarshall@example.net,983-874-26870,Hong Kong,YES,"Strawberry,Mango,Peach",2.2,6.800000000000001,Oregon, 923 Amanda Isle, 78387
272,2021-07-20,20:20:02,Anthony,Smith,Male,dlarson@example.com,611-670-49139,Belarus,YES,Mango,1.5,1.5,North Dakota, 65822 Timothy Keys Apt. 739, 
340,2021-07-30,10:00:41,Emily,Green,Female,rhodestodd@example.net,497-443-85192,Zambia,YES,"Cherry,Blueberry,Mango,Strawberry,Apple",2.4,10.3,Rhode Island, , 47048
46,2021-07-31,16:38:16,Brian,Lewis,Female,kimjones@example.net,838-438-41120,Ecuador,YES,"Pineapple,Mango,Blueberry,Apple,Strawberry",1.3,9.5,Minnesota, 99198 Bethany Lights Apt. 000, 09190
246,2021-08-10,20:07:53,Kimberly,Rodriguez,Male,crystalmorgan@example.com,844-848-87896,Holy See (Vatican City State),YES,"Mango,Strawberry,Blueberry,Banana",1.9,7.1,Oklahoma, 06049 Christopher Course, 29754
470,2021-09-16,21:34:34,Emily,Mitchell,Female,wilsonanne@example.org,853-460-18099,Solomon Islands,YES,"Mango,Peach,Orange,Grapes",2.1,8.5,Wyoming, 10551 Mitchell Haven, 38702
30,2021-11-03,12:07:28,Jennifer,Allen,Male,andrew19@example.org,934-913-34610,Switzerland,YES,"Mango,Grapes,Strawberry,Banana,Cherry",2.0,10.999999999999998,Rhode Island, 718 Garcia Ferry, 76401
126,2021-11-25,20:17:10,Michelle,Lee,Male,jessica49@example.net,324-313-58649,Mauritania,YES,"Pineapple,Peach,Mango",1.8,4.9,Vermont, , 
279,2021-12-01,19:41:11,Elizabeth,Adams,Female,donna71@example.org,672-841-00004,Greenland,YES,"Apple,Blueberry,Peach,Mango,Pineapple",2.4,10.2,New Mexico, , 58019
263,2022-01-06,11:34:08,Mary,Parker,Female,daniel19@example.com,068-122-37117,Heard Island and McDonald Islands,YES,"Mango,Cherry,Pineapple,Banana,Apple",1.2,9.7,Missouri, 575 Holmes Shores Suite 670, 
130,2022-02-11,02:00:47,Amanda,Martin,Male,lmarsh@example.org,263-039-17547,Isle of Man,YES,"Peach,Banana,Grapes,Mango",1.5,7.7,Tennessee, , 10870
22,2022-03-17,15:03:08,Thomas,Garcia,Female,jessica23@example.com,330-673-54928,India,YES,"Grapes,Mango",1.7,3.3,Maryland, 538 James Prairie Apt. 804, 40380
101,2022-04-03,07:02:11,Donna,Thomas,Female,logan92@example.com,410-341-43574,Honduras,YES,"Orange,Mango,Peach",2.1,7.0,Arizona, 08518 Miller Mills Apt. 141, 23401
273,2022-04-09,02:00:45,Melissa,Wright,Female,davidmartin@example.net,550-935-46602,French Guiana,YES,"Blueberry,Mango",2.1,4.0,Oregon, , 49879
316,2022-07-02,17:45:00,Joseph,Thomas,Female,garrettmichele@example.com,720-219-44751,Isle of Man,YES,"Mango,Strawberry",2.0,3.4,Louisiana, , 93239
184,2022-07-12,04:09:00,Lisa,Parker,Male,jmcclure@example.net,548-159-71627,Martinique,YES,"Mango,Banana,Orange,Grapes,Pineapple",1.6,8.9,South Dakota, 5265 Rebecca Orchard, 48313
365,2022-07-13,16:06:41,Deborah,Roberts,Male,darrellsaunders@example.org,071-587-98549,Lao People's Democratic Republic,YES,"Cherry,Orange,Mango",2.4,7.0,Kentucky, , 71097
