Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Peach,Total,state_address,street,Zip_Code
220,2021-01-20,00:58:19,Patricia,White,Female,jeffrey06@example.net,130-209-33694,Panama,YES,"Pineapple,Grapes,Apple,Banana,Peach",2.5,8.5,Indiana, 5954 Vasquez Circles Suite 360, 99492
125,2021-01-27,15:14:43,Richard,Martinez,Female,kristin09@example.org,717-722-82796,Kuwait,YES,"Cherry,Strawberry,Mango,Peach",2.4,8.2,Alaska, 843 Sherry Lane, 82136
88,2021-02-01,08:46:43,Sandra,Thomas,Female,lcamacho@example.net,199-214-41682,Sweden,YES,Peach,2.5,2.5,West Virginia, , 
131,2021-03-09,17:54:49,George,Collins,Female,phillipsrobert@example.net,479-490-29081,Korea,YES,"Cherry,Peach,Strawberry,Banana",1.4,6.6000000000000005,Louisiana, 5905 Lane Land Suite 235, 74027
54,2021-03-11,04:09:42,Brian,Scott,Male,zgraham@example.net,956-173-02034,Israel,YES,"Peach,Pineapple",2.5,4.9,Vermont, 7684 Osborne Rest Apt. 322, 
413,2021-06-02,04:35:47,Jessica,Turner,Female,hughesalejandro@example.org,639-727-24434,Lesotho,YES,"Pineapple,Cherry,Peach",2.5,6.6,Vermont, 1698 Gregory Valley Suite 803, 43223
162,2021-06-07,09:40:01,George,Rodriguez,Male,marymiller@example.net,142-045-34586,Chad,YES,"Apple,Peach,Orange,Grapes,Cherry",2.2,8.7,Kentucky, 1611 Darrell Path Suite 572, 
83,2021-07-08,05:15:24,Susan,Brown,Female,yhenry@example.org,318-818-28856,India,YES,"Strawberry,Orange,Peach,Banana",1.5,6.1,Alaska, , 03269
34,2021-07-15,13:49:49,Steven,Allen,Male,jmarshall@example.net,983-874-26870,Hong Kong,YES,"Strawberry,Mango,Peach",2.1,6.800000000000001,Oregon, 923 Amanda Isle, 78387
268,2021-08-22,09:24:38,Donna,Roberts,Male,nathaniel69@example.org,154-883-17516,Marshall Islands,YES,"Grapes,Peach,Blueberry,Cherry,Orange",1.7,8.5,New Jersey, 64174 Kelly Vista, 30802
470,2021-09-16,21:34:34,Emily,Mitchell,Female,wilsonanne@example.org,853-460-18099,Solomon Islands,YES,"Mango,Peach,Orange,Grapes",2.3,8.5,Wyoming, 10551 Mitchell Haven, 38702
233,2021-11-01,10:21:49,Sarah,Thompson,Male,stacy18@example.org,523-022-65435,Isle of Man,YES,"Apple,Peach,Pineapple",1.9,5.9,Vermont, 836 Cantrell Causeway Suite 846, 84887
126,2021-11-25,20:17:10,Michelle,Lee,Male,jessica49@example.net,324-313-58649,Mauritania,YES,"Pineapple,Peach,Mango",1.3,4.9,Vermont, , 
412,2021-11-28,22:11:03,Kimberly,Perez,Female,kyle52@example.org,208-679-82788,Hong Kong,YES,"Grapes,Peach,Blueberry",2.7,7.4,Indiana, , 
121,2021-11-29,18:17:07,Michael,Taylor,Male,kyletaylor@example.org,012-324-35574,Timor-Leste,YES,"Cherry,Peach,Banana,Strawberry",1.2,7.0,Arkansas, 01482 Amanda Island Apt. 457, 90122
