Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Blueberry,Total,state_address,street,Zip_Code
192,2021-05-08,02:05:01,Kevin,Martin,Female,melanie48@example.com,599-745-47236,Sao Tome and Principe,YES,"Pineapple,Blueberry,Orange",1.9,4.4,Missouri, 64878 Brandon Island, 80375
227,2021-07-18,20:08:29,Jessica,Campbell,Male,douglasandre@example.org,529-190-29310,Nepal,YES,Blueberry,1.4,1.4,Delaware, , 93986
340,2021-07-30,10:00:41,Emily,Green,Female,rhodestodd@example.net,497-443-85192,Zambia,YES,"Cherry,Blueberry,Mango,Strawberry,Apple",1.8,10.3,Rhode Island, , 47048
46,2021-07-31,16:38:16,Brian,Lewis,Female,kimjones@example.net,838-438-41120,Ecuador,YES,"Pineapple,Mango,Blueberry,Apple,Strawberry",1.5,9.5,Minnesota, 99198 Bethany Lights Apt. 000, 09190
394,2021-08-01,18:56:36,Deborah,Lopez,Male,jacob88@example.org,663-584-26368,United Arab Emirates,YES,"Apple,Orange,Strawberry,Blueberry",2.5,10.0,Rhode Island, 7257 Villa Falls, 77112
246,2021-08-10,20:07:53,Kimberly,Rodriguez,Male,crystalmorgan@example.com,844-848-87896,Holy See (Vatican City State),YES,"Mango,Strawberry,Blueberry,Banana",1.5,7.1,Oklahoma, 06049 Christopher Course, 29754
16,2021-08-16,08:48:14,John,Lopez,Male,dannygraham@example.com,323-606-70616,Mozambique,YES,Blueberry,1.5,1.5,Louisiana, , 45861
268,2021-08-22,09:24:38,Donna,Roberts,Male,nathaniel69@example.org,154-883-17516,Marshall Islands,YES,"Grapes,Peach,Blueberry,Cherry,Orange",2.1,8.5,New Jersey, 64174 Kelly Vista, 30802
380,2021-09-14,04:42:40,Anthony,Hall,Female,millergabriella@example.com,774-689-57861,Togo,YES,"Pineapple,Strawberry,Grapes,Apple,Blueberry",2.6,10.5,Wisconsin, 484 Garcia Via, 70602
170,2021-10-07,06:47:48,Edward,Allen,Female,tanner69@example.com,869-290-54516,Antigua and Barbuda,YES,"Orange,Blueberry,Strawberry",1.5,5.7,Florida, 274 Espinoza Forks, 49419
497,2021-11-20,00:30:33,Sarah,Anderson,Female,hnorman@example.net,032-085-39419,New Zealand,YES,"Banana,Blueberry,Strawberry",1.4,4.9,Alabama, , 
412,2021-11-28,22:11:03,Kimberly,Perez,Female,kyle52@example.org,208-679-82788,Hong Kong,YES,"Grapes,Peach,Blueberry",2.5,7.4,Indiana, , 
279,2021-12-01,19:41:11,Elizabeth,Adams,Female,donna71@example.org,672-841-00004,Greenland,YES,"Apple,Blueberry,Peach,Mango,Pineapple",2.4,10.2,New Mexico, , 58019
104,2021-12-27,01:05:36,Donna,Martin,Male,lynn79@example.net,167-257-17772,Maldives,YES,"Strawberry,Grapes,Cherry,Apple,Blueberry",2.0,9.8,New Hampshire, 1837 Martin Avenue Apt. 465, 57513
191,2022-01-27,02:25:13,Daniel,Turner,Female,stevenhenry@example.net,195-006-29452,United States of America,YES,"Apple,Peach,Blueberry",2.0,6.0,North Carolina, , 25785
298,2022-02-19,05:22:18,Emily,Mitchell,Male,fitzgeraldcindy@example.com,040-809-72499,Puerto Rico,YES,Blueberry,2.4,2.4,Arizona, , 06772
435,2022-02-21,13:18:26,Brian,Smith,Male,ksanchez@example.com,326-396-90210,Ghana,YES,"Orange,Blueberry,Peach",2.3,6.0,South Carolina, 4453 Schultz Station Apt. 027, 
286,2022-03-03,18:11:33,Richard,Perez,Female,ccoleman@example.org,123-246-10723,Mauritania,YES,"Blueberry,Strawberry,Peach,Orange",1.8,7.9,Colorado, 63829 Gerald Rapid, 27143
69,2022-03-24,08:41:17,Patricia,King,Male,daniellozano@example.org,079-891-30811,Turkey,YES,"Blueberry,Peach",2.3,4.5,Alaska, 22906 Rebecca Mission, 
