Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Orange,Total,state_address,street,Zip_Code
449,2021-01-06,03:17:22,Christopher,Harris,Female,victorlee@example.net,355-905-88676,Norway,YES,Orange,1.5,1.5,Utah, 47516 Natalie Avenue, 32560
432,2021-03-24,05:47:29,Linda,Carter,Male,xsanders@example.org,877-770-10111,Mali,YES,"Pineapple,Orange,Strawberry,Grapes",1.5,7.799999999999999,New Jersey, 239 Salazar Drive, 08374
192,2021-05-08,02:05:01,Kevin,Martin,Female,melanie48@example.com,599-745-47236,Sao Tome and Principe,YES,"Pineapple,Blueberry,Orange",1.3,4.4,Missouri, 64878 Brandon Island, 80375
234,2021-05-15,11:22:53,Daniel,Carter,Male,codyperry@example.com,228-560-26559,Western Sahara,YES,"Strawberry,Orange,Cherry",1.6,5.5,New York, , 28289
162,2021-06-07,09:40:01,George,Rodriguez,Male,marymiller@example.net,142-045-34586,Chad,YES,"Apple,Peach,Orange,Grapes,Cherry",1.9,8.7,Kentucky, 1611 Darrell Path Suite 572, 
83,2021-07-08,05:15:24,Susan,Brown,Female,yhenry@example.org,318-818-28856,India,YES,"Strawberry,Orange,Peach,Banana",1.9,6.1,Alaska, , 03269
394,2021-08-01,18:56:36,Deborah,Lopez,Male,jacob88@example.org,663-584-26368,United Arab Emirates,YES,"Apple,Orange,Strawberry,Blueberry",2.5,10.0,Rhode Island, 7257 Villa Falls, 77112
164,2021-08-20,16:10:17,Brian,Perez,Male,gsmith@example.net,779-527-95746,Zambia,YES,"Grapes,Strawberry,Orange",2.1,5.300000000000001,Nevada, , 05859
268,2021-08-22,09:24:38,Donna,Roberts,Male,nathaniel69@example.org,154-883-17516,Marshall Islands,YES,"Grapes,Peach,Blueberry,Cherry,Orange",1.4,8.5,New Jersey, 64174 Kelly Vista, 30802
470,2021-09-16,21:34:34,Emily,Mitchell,Female,wilsonanne@example.org,853-460-18099,Solomon Islands,YES,"Mango,Peach,Orange,Grapes",1.8,8.5,Wyoming, 10551 Mitchell Haven, 38702
170,2021-10-07,06:47:48,Edward,Allen,Female,tanner69@example.com,869-290-54516,Antigua and Barbuda,YES,"Orange,Blueberry,Strawberry",2.4,5.7,Florida, 274 Espinoza Forks, 49419
185,2021-10-15,23:37:01,William,Williams,Female,rogerandrews@example.org,154-724-28320,United States of America,YES,"Pineapple,Orange",1.6,4.2,Rhode Island, , 48139
364,2021-11-02,10:18:42,Brian,Rodriguez,Female,richard46@example.com,670-293-42829,Zimbabwe,YES,"Grapes,Orange,Banana",1.6,5.7,New York, , 74291
464,2021-12-16,11:40:41,Joshua,Mitchell,Female,john27@example.com,919-875-14397,Antigua and Barbuda,YES,"Orange,Apple",1.3,3.0,South Dakota, , 
51,2022-01-23,15:27:08,Amanda,Edwards,Male,michael76@example.org,990-406-23181,Albania,YES,"Banana,Orange,Strawberry",2.6,7.500000000000001,North Dakota, 4640 Felicia Isle, 
500,2022-02-13,19:51:34,William,Rodriguez,Female,sandramcdaniel@example.net,506-617-37287,New Zealand,YES,"Strawberry,Apple,Pineapple,Orange",2.0,7.699999999999999,Kentucky, , 68970
435,2022-02-21,13:18:26,Brian,Smith,Male,ksanchez@example.com,326-396-90210,Ghana,YES,"Orange,Blueberry,Peach",1.4,6.0,South Carolina, 4453 Schultz Station Apt. 027, 
286,2022-03-03,18:11:33,Richard,Perez,Female,ccoleman@example.org,123-246-10723,Mauritania,YES,"Blueberry,Strawberry,Peach,Orange",2.0,7.9,Colorado, 63829 Gerald Rapid, 27143
252,2022-03-09,23:42:39,Amanda,Nelson,Female,brian97@example.net,718-970-99677,Philippines,YES,"Orange,Strawberry,Peach,Banana,Apple",1.2,8.4,Mississippi, , 24185
454,2022-03-25,10:19:28,Sandra,Anderson,Male,rittersara@example.net,278-571-53097,Cape Verde,YES,"Banana,Cherry,Orange",1.4,4.6,Virginia, 321 Howard Rapid, 
101,2022-04-03,07:02:11,Donna,Thomas,Female,logan92@example.com,410-341-43574,Honduras,YES,"Orange,Mango,Peach",2.4,7.0,Arizona, 08518 Miller Mills Apt. 141, 23401
461,2022-04-05,01:29:41,Edward,Lopez,Male,tdawson@example.org,432-044-47614,Portugal,YES,"Apple,Orange,Blueberry,Cherry",2.5,9.7,Illinois, 13128 Anna Fork Suite 351, 51054
218,2022-05-08,23:57:23,Robert,Anderson,Male,kristin60@example.net,732-623-50812,Kyrgyz Republic,YES,"Orange,Banana,Grapes",2.2,5.7,Virginia, , 90979
423,2022-05-17,13:47:54,Michael,Hernandez,Female,lisa73@example.com,073-111-20688,Ethiopia,YES,"Orange,Grapes,Strawberry",2.2,5.4,Rhode Island, 87816 Bowen Dale, 
110,2022-05-20,21:49:05,Patricia,Brown,Female,mrodriguez@example.net,509-324-07036,Saint Kitts and Nevis,YES,"Banana,Cherry,Orange,Blueberry,Apple",1.7,8.7,Florida, , 30282
148,2022-06-11,10:09:08,Kevin,Perez,Male,warrencharles@example.org,763-169-90435,Liechtenstein,YES,"Orange,Blueberry,Pineapple,Grapes,Apple",1.9,10.4,Delaware, 882 Brian Mountains, 52791
250,2022-06-26,22:19:11,Mark,Mitchell,Female,allen96@example.org,860-111-98707,Bangladesh,YES,"Blueberry,Cherry,Orange",1.7,4.8,Arizona, , 47967
184,2022-07-12,04:09:00,Lisa,Parker,Male,jmcclure@example.net,548-159-71627,Martinique,YES,"Mango,Banana,Orange,Grapes,Pineapple",1.4,8.9,South Dakota, 5265 Rebecca Orchard, 48313
365,2022-07-13,16:06:41,Deborah,Roberts,Male,darrellsaunders@example.org,071-587-98549,Lao People's Democratic Republic,YES,"Cherry,Orange,Mango",2.3,7.0,Kentucky, , 71097
155,2022-08-17,00:16:43,Matthew,Smith,Female,ugomez@example.net,410-158-23283,Svalbard & Jan Mayen Islands,YES,"Strawberry,Grapes,Banana,Orange",1.9,8.6,California, , 36097
158,2022-09-12,00:52:57,Matthew,Nelson,Female,emily69@example.com,863-889-60229,Bahamas,YES,"Orange,Banana,Blueberry,Strawberry",1.5,6.3,Utah, 35481 Jones Drives Suite 295, 77020
41,2022-09-30,18:08:53,Nancy,Rodriguez,Male,wreed@example.net,301-218-36399,Bermuda,YES,"Orange,Grapes,Cherry",2.0,5.6,Kentucky, , 44077
119,2022-10-19,05:32:19,Elizabeth,Adams,Female,sheila56@example.com,919-030-77393,Namibia,YES,"Apple,Mango,Orange",2.7,7.1000000000000005,Nebraska, 974 Christopher Roads, 
236,2022-10-28,06:34:27,Edward,Miller,Female,nhammond@example.org,288-816-00368,Zambia,YES,"Banana,Orange,Blueberry",1.5,5.9,Oregon, , 46949
132,2022-11-15,09:27:58,Nancy,Miller,Female,heatherrhodes@example.net,073-063-85615,Samoa,YES,"Pineapple,Orange,Strawberry",1.9,5.5,North Carolina, , 70263
