Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Address,Contact Later,Fruits,Apple,Banana,Orange,Grapes,Strawberry,Pineapple,Mango,Blueberry,Peach,Cherry,Total
1,"25 Apr, 2023",16:35:06,Christopher,\Turner,Male,rpayne@example.net,5798|307-6270,Iceland,"Texas, 8184 Soto Trail Suite 117, 58052",y,"Apple,Banana,Pineapple",2.1,1.7,2.0,2.3,2.4,2.3,2.4,2.2,1.4,2.4,6.1
CusID- 2,"21 Jul, 2024",02:31:51,Matthew,Johnson,Female,qsutton@example.org,2|9\935408042,Tanzania,"New York, , 16715",N,"Mango,Apple,Blueberry,Peach,Banana",1.3,2.0,1.4,1.3,1.4,2.1,1.7,2.2,1.7,2.0,8.9
CusID- 2,"21 Jul, 2024",02:31:51,Matthew,Johnson,Female,qsutton@example.org,2|9\935408042,Tanzania,"New York, , 16715",N,"Mango,Apple,Blueberry,Peach,Banana",1.3,2.0,1.4,1.3,1.4,2.1,1.7,2.2,1.7,2.0,8.9
CusID- 3,"27 Nov, 2021",02:31:13,Andrew,_Perez,F,powerskarl@example.org,67163\836|098,United States Virgin Islands,"Illinois, , 90821",N,"Peach,Strawberry,Grapes,Cherry,Orange",1.4,2.1,2.6,1.3,2.4,2.2,1.8,2.3,1.6,2.0,9.9
CusID- 4,"02 Sep, 2023",20:31:51,Barbara,\Young,F,shawn89@example.net,96-86-6732593,Moldova,"Nevada, 8491 Stone Lakes, 51243",y,"Banana,Cherry,Mango,Pineapple",1.8,2.7,2.4,2.5,1.5,2.6,2.3,1.6,2.7,1.4,9.0
5,"27 Oct, 2023",23:31:40,Elizabeth,Jackson,M,caroline66@example.net,6-66|91470647,Aruba,"Ohio, 9506 Charles Via Suite 840, ",y,"Strawberry,Banana,Apple,Peach,Cherry",1.8,1.2,1.5,1.2,1.6,2.1,1.9,2.3,2.1,2.1,8.799999999999999
6,"14 Apr, 2021",19:49:19,Betty,|Nelson,M,robertclark@example.com,14651--462466,Sudan,"Alaska, , 84981",yes,"Mango,Banana,Grapes",1.4,2.0,1.4,1.6,1.9,1.7,1.5,2.7,1.3,2.1,5.1
7,"12 Jul, 2021",12:49:12,Mark,|Baker,m,dalton63@example.net,2797980|2\639,Bosnia and Herzegovina,"Massachusetts, 6913 Danielle Spur, 69050",no,"Peach,Blueberry,Grapes,Orange,Banana",2.6,1.3,1.2,2.5,1.8,2.3,1.8,1.2,1.7,2.4,7.9
8,"27 Feb, 2021",18:57:29,Paul,\Allen,F,thamilton@example.org,17409-416-727,Guinea,"Alabama, 48769 Crystal Club, 65669",n,"Cherry,Apple",2.6,1.4,2.4,1.3,2.7,2.0,1.6,2.5,2.4,2.7,5.300000000000001
9,"04 Jul, 2024",06:45:57,Edward,Thomas,Male,goodmanjohn@example.org,603617389\\58,Azerbaijan,"Virginia, , 68926",N,"Mango,Peach,Blueberry,Grapes,Apple",2.0,2.1,2.2,2.2,1.6,1.5,2.3,2.5,2.5,2.1,11.5
10,"27 Mar, 2022",11:57:23,Elizabeth,|Lopez,m,brandonhenson@example.net,32812-96|7864,Albania,"Delaware, 383 Brown Plaza, ",n,"Banana,Blueberry,Strawberry,Cherry,Apple",2.2,1.5,2.1,1.5,2.6,1.4,1.6,2.2,2.3,2.3,10.8
CusID- 11,"25 Jan, 2023",10:11:27,Sandra,\King,f,aaron21@example.org,84046|-439197,Canada,"Indiana, 0557 Trevor Greens, ",n,"Blueberry,Cherry,Strawberry",1.3,1.5,1.4,1.4,2.4,1.7,1.8,1.4,2.5,1.4,5.199999999999999
12,"20 Nov, 2022",21:51:01,Mary,|Edwards,M,amanda87@example.com,4482|518\6980,Ghana,"Wisconsin, 0969 Clark Shore, ",y,"Cherry,Strawberry,Grapes,Blueberry",1.8,2.7,2.6,2.2,1.6,2.0,2.2,1.2,1.5,2.1,7.1000000000000005
CusID- 13,"30 Oct, 2024",23:53:27,Michael,...Young,f,christophersullivan@example.com,12\869\885418,Indonesia,"Utah, , 24893",no,"Strawberry,Apple,Cherry,Banana,Grapes",1.4,1.7,2.4,2.1,1.3,2.6,2.2,1.7,1.8,1.8,8.3
14,"26 Jul, 2022",02:21:16,Linda,Hill,Male,mcgeechristopher@example.org,2\-7580069512,Equatorial Guinea,"Alabama, 6295 Harrington Ramp, 36387",no,"Grapes,Orange,Apple,Peach",2.6,2.7,2.6,2.6,2.5,2.3,1.6,1.4,2.4,2.4,10.200000000000001
15,"26 Jan, 2024",12:49:04,Thomas,...White,Female,todddavis@example.com,137-3032|3277,Norway,"Washington, 95012 Tracie Extensions, 37374",yes,"Banana,Orange",2.3,2.3,2.1,1.9,2.5,2.6,1.4,2.4,2.2,2.6,4.4
16,"16 Aug, 2021",08:48:14,John,Lopez,Male,dannygraham@example.com,32360-6706-16,Mozambique,"Louisiana, , 45861",y,Blueberry,1.8,2.3,2.6,1.2,1.5,2.7,1.3,1.5,2.1,2.6,1.5
CusID- 17,"27 Dec, 2023",14:25:48,Michael,\Garcia,m,michaelcook@example.net,3|99158-74737,Palestinian Territory,"North Carolina, , 16937",y,Banana,1.5,2.4,2.1,1.5,2.3,2.7,2.2,1.9,2.6,1.9,2.4
18,"06 Jul, 2022",06:47:26,Jessica,_Lopez,Male,bryanrice@example.net,1-71575709-74,Northern Mariana Islands,"Indiana, 443 Henderson Avenue, 08006",no,"Mango,Peach,Strawberry",2.1,1.9,1.5,2.2,1.4,2.3,1.6,2.3,2.4,2.1,5.4
CusID- 19,"01 Nov, 2023",06:51:23,Carol,...Young,Female,alvarezbrian@example.org,69799|3|73614,Cocos (Keeling) Islands,"California, , ",N,"Cherry,Banana,Pineapple,Orange",2.2,1.9,2.3,1.3,2.7,2.4,1.6,2.4,1.6,2.0,8.6
CusID- 19,"01 Nov, 2023",06:51:23,Carol,...Young,Female,alvarezbrian@example.org,69799|3|73614,Cocos (Keeling) Islands,"California, , ",N,"Cherry,Banana,Pineapple,Orange",2.2,1.9,2.3,1.3,2.7,2.4,1.6,2.4,1.6,2.0,8.6
20,"16 Aug, 2024",21:52:05,Jennifer,|King,Male,phicks@example.com,302347811|-27,Palestinian Territory,"Tennessee, , 98804",yes,"Peach,Orange",2.0,2.5,2.3,2.1,1.4,2.7,2.5,2.0,1.9,1.7,4.199999999999999
CusID- 21,"20 May, 2021",21:36:57,Matthew,Taylor,M,allisonwarner@example.org,8|5195|366308,Bangladesh,"Wyoming, , 60914",no,"Orange,Apple,Banana,Peach,Strawberry",2.0,2.6,2.6,2.0,1.8,2.0,2.5,1.9,2.0,2.3,11.0
22,"17 Mar, 2022",15:03:08,Thomas,Garcia,f,jessica23@example.com,3\306735|4928,India,"Maryland, 538 James Prairie Apt. 804, 40380",y,"Grapes,Mango",2.1,2.0,1.2,1.6,2.6,2.6,1.7,2.7,2.6,2.5,3.3
CusID- 23,"08 Oct, 2022",00:58:19,David,Baker,Female,hbeasley@example.org,00|0818048-47,Barbados,"Mississippi, 906 Williams Roads, 26901",Y,"Pineapple,Mango",1.3,1.3,2.0,1.7,1.8,2.1,1.5,1.7,2.4,1.4,3.6
CusID- 24,"19 Mar, 2021",16:45:31,Margaret,_Taylor,m,rodriguezjohn@example.net,34|2\54080756,Croatia,"Colorado, , 73470",y,Pineapple,2.6,1.9,1.6,2.6,1.7,1.8,2.7,2.1,1.5,2.1,1.8
25,"25 Sep, 2023",07:46:48,John,|Thompson,Female,christina77@example.com,584214\|17062,Cameroon,"Idaho, 49810 Wilson Stravenue Suite 480, 59527",no,"Blueberry,Cherry",1.5,1.5,2.1,2.4,2.2,1.6,1.5,1.8,2.4,2.6,4.4
26,"30 Apr, 2023",09:21:24,Thomas,...Jones,Female,angela53@example.org,5-0826|028867,Saint Barthelemy,"Virginia, 172 Jeffrey Ferry, 97324",N,"Strawberry,Pineapple,Apple,Banana",2.0,2.1,1.5,2.3,2.7,2.7,1.9,1.8,2.1,1.8,9.5
27,"17 Jan, 2023",10:03:57,Elizabeth,Martinez,Male,zlawson@example.org,39913|6102-25,Costa Rica,"Maryland, 15452 Stevenson Wells Suite 939, 07201",N,"Peach,Strawberry,Blueberry",2.6,2.4,2.6,2.0,2.0,1.8,2.0,2.0,2.6,1.3,6.6
28,"28 Aug, 2023",06:14:43,George,...Lewis,M,pellis@example.org,8544927-|9469,Kazakhstan,"Utah, , 80993",yes,"Apple,Mango,Strawberry,Peach",1.2,1.4,1.4,2.6,1.8,2.0,2.3,1.8,2.5,1.9,7.8
29,"03 Sep, 2022",04:18:50,David,|Thompson,Female,brownwilliam@example.org,66-760365|273,Spain,"Delaware, 5205 Sierra Vista Apt. 706, 72904",N,Cherry,1.5,1.9,1.9,2.2,1.9,2.4,2.7,2.6,2.0,2.6,2.6
30,"03 Nov, 2021",12:07:28,Jennifer,...Allen,Male,andrew19@example.org,934913346\\10,Switzerland,"Rhode Island, 718 Garcia Ferry, 76401",y,"Mango,Grapes,Strawberry,Banana,Cherry",2.7,2.2,1.8,2.3,2.4,1.3,2.0,2.3,2.4,2.1,10.999999999999998
31,"30 Jan, 2022",04:22:26,Donna,\Hill,Male,westdenise@example.com,6357-2|278064,Somalia,"Montana, , 85525",no,"Banana,Blueberry,Strawberry",1.6,1.4,2.1,2.1,2.0,2.4,1.9,1.6,2.6,2.6,5.0
31,"30 Jan, 2022",04:22:26,Donna,\Hill,Male,westdenise@example.com,6357-2|278064,Somalia,"Montana, , 85525",no,"Banana,Blueberry,Strawberry",1.6,1.4,2.1,2.1,2.0,2.4,1.9,1.6,2.6,2.6,5.0
32,"29 Sep, 2023",14:16:36,Susan,Perez,F,larryhicks@example.org,758603\9|9795,Venezuela,"Missouri, , 03018",yes,"Banana,Blueberry,Mango",2.1,2.1,2.6,1.7,2.7,1.4,1.5,2.1,1.2,1.9,5.7
CusID- 33,"01 Apr, 2021",12:55:06,James,_King,Male,enguyen@example.net,07278|29-4334,Lebanon,"Mississippi, 5490 Williams Views, 53367",N,Pineapple,2.3,1.5,1.8,1.2,2.5,1.5,2.2,2.4,2.1,1.3,1.5
