Customer ID,Date,Time,First Name,Last Name,Gender,Gmail Address,Phone Number,Country,Contact Later,Fruits,Apple,Banana,Orange,Grapes,Strawberry,Pineapple,Mango,Blueberry,Peach,Cherry,Total,state_address,street,Zip_Code
449,2021-01-06,03:17:22,Christopher,Harris,Female,victorlee@example.net,355-905-88676,Norway,YES,Orange,1.9,2.6,1.5,1.5,2.5,1.5,2.5,1.8,2.4,1.3,1.5,Utah, 47516 Natalie Avenue, 32560
37,2021-01-17,23:19:33,Patricia,Jackson,Female,justinbooker@example.com,028-438-42317,Slovenia,YES,Strawberry,2.0,1.3,2.4,2.0,2.5,2.3,2.3,1.9,1.8,1.7,2.5,Idaho, 686 Meyer Cove Apt. 000, 14576
254,2021-01-19,19:01:01,Melissa,Parker,Female,kellihamilton@example.com,408-979-06475,Turkey,YES,"Apple,Banana,Strawberry,Cherry,Pineapple",2.5,2.0,1.5,1.2,1.4,2.1,2.1,2.2,2.5,1.8,9.8,Maine, 8601 Bryan Brook, 09103
220,2021-01-20,00:58:19,Patricia,White,Female,jeffrey06@example.net,130-209-33694,Panama,YES,"Pineapple,Grapes,Apple,Banana,Peach",1.5,1.5,2.0,1.3,2.3,1.7,1.5,2.6,2.5,1.2,8.5,Indiana, 5954 Vasquez Circles Suite 360, 99492
329,2021-01-25,07:05:51,Kevin,Hall,Male,nicolejimenez@example.com,959-021-36566,Australia,YES,"Mango,Pineapple,Apple",2.1,2.6,2.5,1.4,2.2,1.4,1.5,1.3,2.0,2.3,5.0,Nevada, , 42184
460,2021-01-26,00:26:55,Brian,Harris,Female,geoffrey67@example.org,573-873-29304,Guinea-Bissau,YES,"Mango,Pineapple",2.2,1.8,2.1,1.6,1.3,1.2,1.9,2.3,1.2,2.7,3.1,West Virginia, 350 Megan Orchard Suite 913, 76065
125,2021-01-27,15:14:43,Richard,Martinez,Female,kristin09@example.org,717-722-82796,Kuwait,YES,"Cherry,Strawberry,Mango,Peach",1.4,1.8,2.0,2.3,2.6,2.5,1.3,1.6,2.4,1.9,8.2,Alaska, 843 Sherry Lane, 82136
436,2021-01-31,05:02:49,Linda,Wright,Female,zacharythomas@example.com,466-603-16494,Malawi,YES,Pineapple,1.9,2.2,1.5,2.7,1.2,1.2,2.2,2.0,1.5,1.4,1.2,South Carolina, 7006 Campbell Junction, 02865
88,2021-02-01,08:46:43,Sandra,Thomas,Female,lcamacho@example.net,199-214-41682,Sweden,YES,Peach,1.9,1.6,2.4,2.0,1.9,2.0,1.6,1.8,2.5,2.4,2.5,West Virginia, , 
131,2021-03-09,17:54:49,George,Collins,Female,phillipsrobert@example.net,479-490-29081,Korea,YES,"Cherry,Peach,Strawberry,Banana",2.6,1.7,1.2,2.0,2.1,1.4,2.6,1.5,1.4,1.4,6.6000000000000005,Louisiana, 5905 Lane Land Suite 235, 74027
